# Geofeed - RFC 8805 format
# prefix,country,region,city
24.204.24.0/24,US,TX,Longview
24.204.24.128/29,US,TX,Longview
24.204.24.136/29,US,TX,Longview
24.204.24.144/29,US,TX,Longview
24.204.24.152/29,US,TX,El Paso
24.204.24.160/30,US,TX,Longview
24.204.24.164/30,US,TX,Marshall
24.204.24.172/30,US,TX,Longview
24.204.24.180/30,US,TX,Longview
24.204.24.184/30,US,TX,Marshall
24.204.24.188/31,US,LA,Shreveport
24.204.24.190/31,US,TX,El Paso
24.204.25.0/24,US,TX,Longview
24.204.26.0/24,US,TX,Longview
24.204.27.0/24,US,TX,Longview
24.204.28.0/24,US,TX,Longview
24.204.29.0/24,US,TX,Longview
24.204.29.0/26,US,TX,Longview
24.204.29.192/26,US,TX,Longview
24.204.30.0/24,US,TX,Longview
24.204.30.128/25,US,TX,Longview
24.204.31.0/24,US,TX,Longview
24.204.31.16/29,US,TX,Longview
24.204.31.24/30,US,TX,Kilgore
24.204.31.28/30,US,TX,Longview
24.204.31.32/30,US,TX,Longview
24.204.31.36/30,US,TX,Longview
24.204.31.40/30,US,TX,Longview
24.204.31.44/30,US,TX,Longview
24.204.31.48/30,US,TX,Longview
24.204.31.52/30,US,TX,Longview
24.204.31.64/30,US,TX,Longview
24.204.31.68/30,US,TX,El Paso
24.204.31.72/29,US,TX,Longview
24.204.31.88/30,US,TX,Longview
24.204.31.92/30,US,TX,Kilgore
24.204.31.96/29,US,TX,Longview
24.204.31.104/29,US,TX,Longview
24.204.31.112/28,US,TX,Longview
24.204.31.192/29,US,TX,Longview
24.204.31.200/29,US,LA,Lafayette
24.204.31.200/31,US,TX,Kilgore
24.204.31.208/31,US,TX,El Paso
24.204.31.210/31,US,TX,El Paso
24.204.31.212/31,US,TX,Longview
24.204.31.214/31,US,TX,El Paso
24.204.31.216/29,US,LA,Lafayette
24.204.31.224/29,US,TX,El Paso
24.204.31.232/31,US,TX,Longview
24.204.31.234/31,US,LA,Shreveport
24.204.31.236/30,US,LA,Shreveport
24.204.31.240/28,US,TX,El Paso
24.204.32.0/24,US,TX,Longview
24.204.32.0/29,US,TX,Longview
24.204.32.12/30,US,TX,Longview
24.204.32.16/28,US,TX,Texarkana
24.204.32.32/29,US,LA,Monroe
24.204.32.40/30,US,TX,Longview
24.204.32.48/29,US,LA,Eunice
24.204.32.56/29,US,LA,New Roads
24.204.32.64/30,US,LA,Shreveport
24.204.32.68/30,US,TX,Longview
24.204.32.76/30,US,TX,Kilgore
24.204.32.80/29,US,TX,Brownwood
24.204.32.88/31,US,TX,Longview
24.204.32.90/31,US,LA,Shreveport
24.204.32.92/30,US,LA,Shreveport
24.204.32.96/29,US,LA,Shreveport
24.204.32.104/30,US,TX,El Paso
24.204.32.108/30,US,TX,Longview
24.204.32.112/30,US,LA,Eunice
24.204.32.116/30,US,TX,Longview
24.204.32.120/29,US,TX,Longview
24.204.32.128/29,US,TX,El Paso
24.204.32.136/30,US,LA,Eunice
24.204.32.140/30,US,LA,Shreveport
24.204.32.146/31,US,LA,Roanoke
24.204.32.148/30,US,TX,Longview
24.204.32.152/30,US,TX,Longview
24.204.32.156/31,US,LA,Shreveport
24.204.32.158/31,US,LA,Monroe
24.204.32.160/31,US,LA,Shreveport
24.204.32.162/31,US,LA,Shreveport
24.204.32.164/31,US,TX,Kilgore
24.204.32.166/31,US,LA,Monroe
24.204.32.168/29,US,TX,El Paso
24.204.32.176/29,US,LA,Shreveport
24.204.32.184/31,US,TX,Longview
24.204.32.186/31,US,LA,Lafayette
24.204.32.188/30,US,TX,Longview
24.204.32.198/31,US,LA,Monroe
24.204.32.200/30,US,TX,Longview
24.204.32.206/31,US,TX,Longview
24.204.32.208/30,US,LA,Sulphur
24.204.32.212/31,US,LA,Vl Platte
24.204.32.214/31,US,LA,Eunice
24.204.32.216/29,US,LA,Shreveport
24.204.32.224/30,US,TX,Longview
24.204.32.228/31,US,LA,Shreveport
24.204.32.232/29,US,TX,El Paso
24.204.32.240/31,US,TX,Kilgore
24.204.32.242/31,US,LA,Batonrouge
24.204.32.244/30,US,TX,Longview
24.204.32.248/29,US,TX,Longview
24.204.34.0/24,US,TX,Longview
24.204.34.0/27,US,TX,Longview
24.204.34.32/27,US,TX,Longview
24.204.34.64/27,US,TX,Longview
24.204.35.0/24,US,TX,Longview
24.204.35.48/29,US,TX,Longview
24.204.35.100/30,US,TX,Longview
24.204.35.104/29,US,TX,Longview
24.204.35.112/30,US,TX,Longview
24.204.35.116/30,US,TX,Longview
24.204.35.144/30,US,TX,Longview
24.204.35.148/30,US,TX,Longview
24.204.35.152/30,US,TX,Longview
24.204.35.176/30,US,TX,Longview
24.204.35.180/30,US,TX,Longview
24.204.35.216/29,US,TX,Longview
24.204.35.224/29,US,TX,Longview
24.204.35.232/30,US,TX,Longview
24.204.35.236/30,US,TX,Longview
24.204.35.240/30,US,TX,Longview
24.204.35.248/29,US,TX,Longview
24.204.36.0/24,US,TX,Longview
24.204.36.64/29,US,TX,Longview
24.204.36.72/29,US,TX,Longview
24.204.36.80/30,US,TX,Longview
24.204.36.88/29,US,TX,Longview
24.204.36.96/28,US,TX,Longview
24.204.36.112/30,US,TX,Longview
24.204.36.116/30,US,TX,Longview
24.204.36.144/30,US,TX,Longview
24.204.36.160/29,US,TX,Longview
24.204.36.196/30,US,TX,Longview
24.204.36.220/30,US,TX,Longview
24.204.36.232/29,US,TX,Longview
24.204.37.0/24,US,TX,Longview
24.204.38.0/24,US,TX,Longview
24.204.39.0/24,US,TX,Longview
24.204.39.48/28,US,TX,Longview
24.204.39.104/30,US,TX,Longview
24.204.39.124/30,US,TX,Longview
24.204.39.140/30,US,TX,Longview
24.204.39.160/29,US,TX,Longview
24.204.39.188/30,US,TX,Longview
24.204.39.192/30,US,TX,Longview
24.204.39.200/30,US,TX,Longview
24.204.39.204/30,US,TX,Longview
24.204.39.208/29,US,TX,Longview
24.204.39.228/30,US,TX,Longview
24.204.40.0/24,US,TX,Longview
24.204.40.64/29,US,TX,Longview
24.204.40.72/29,US,TX,Longview
24.204.40.128/28,US,TX,Longview
24.204.40.144/28,US,TX,Longview
24.204.41.0/24,US,TX,Longview
24.204.43.0/24,US,TX,Longview
24.204.43.28/30,US,TX,Longview
24.204.43.32/30,US,TX,Longview
24.204.43.44/30,US,TX,Longview
24.204.43.160/28,US,TX,Marshall
24.204.43.224/29,US,TX,Longview
24.204.44.0/24,US,TX,Longview
24.204.45.0/24,US,TX,Longview
24.204.46.0/29,US,TX,Longview
24.204.46.136/30,US,TX,Longview
24.204.46.224/29,US,TX,Longview
24.204.46.244/30,US,TX,Longview
24.204.47.0/24,US,TX,Longview
24.204.47.12/32,US,TX,Longview
24.204.47.104/30,US,TX,Longview
24.204.47.128/32,US,TX,Longview
24.204.48.0/24,US,TX,Longview
24.204.49.0/24,US,TX,Longview
24.204.50.0/24,US,TX,Dallas
24.204.50.0/29,US,TX,Longview
24.204.50.8/29,US,TX,Longview
24.204.50.16/29,US,TX,Longview
24.204.50.24/29,US,TX,Longview
24.204.50.48/28,US,TX,Longview
24.204.50.64/28,US,TX,Longview
24.204.50.128/28,US,TX,Longview
24.204.50.144/29,US,TX,Longview
24.204.50.152/29,US,TX,Longview
24.204.50.160/29,US,TX,Longview
24.204.50.168/29,US,TX,Longview
24.204.50.176/29,US,TX,Longview
24.204.50.184/31,US,TX,Longview
24.204.50.186/31,US,TX,Longview
24.204.50.188/31,US,TX,Longview
24.204.50.192/26,US,TX,Longview
24.204.51.0/24,US,TX,Longview
24.204.52.0/24,US,TX,Longview
24.204.52.8/29,US,TX,Longview
24.204.52.16/30,US,TX,Longview
24.204.52.20/30,US,TX,Longview
24.204.52.32/29,US,TX,Longview
24.204.52.40/29,US,TX,Longview
24.204.52.48/29,US,TX,Longview
24.204.52.56/29,US,TX,Longview
24.204.52.64/29,US,TX,Longview
24.204.52.104/29,US,TX,Longview
24.204.52.112/30,US,TX,Longview
24.204.52.184/29,US,TX,Longview
24.204.52.208/30,US,TX,Longview
24.204.52.212/30,US,TX,Longview
24.204.52.216/30,US,TX,Longview
24.204.52.220/30,US,TX,Longview
24.204.52.228/30,US,TX,Longview
24.204.53.0/24,US,TX,Longview
24.204.54.0/24,US,TX,Longview
24.204.55.0/24,US,TX,Longview
24.204.56.0/24,US,TX,Longview
24.204.56.16/29,US,TX,Longview
24.204.56.32/27,US,TX,Longview
24.204.56.72/30,US,TX,Longview
24.204.56.184/30,US,TX,Longview
24.204.56.192/26,US,TX,Longview
24.204.57.0/24,US,TX,Longview
24.204.57.4/30,US,TX,Longview
24.204.57.16/29,US,TX,Longview
24.204.57.24/29,US,TX,Longview
24.204.57.88/30,US,TX,Longview
24.204.57.92/30,US,TX,Longview
24.204.57.96/28,US,TX,Longview
24.204.57.124/30,US,TX,Longview
24.204.57.128/30,US,TX,Longview
24.204.57.144/28,US,TX,Longview
24.204.57.172/30,US,TX,Longview
24.204.57.176/30,US,TX,Longview
24.204.57.180/30,US,TX,Longview
24.204.57.184/30,US,TX,Longview
24.204.57.188/30,US,TX,Longview
24.204.57.192/29,US,TX,Longview
24.204.57.200/29,US,TX,Longview
24.204.57.208/29,US,TX,Longview
24.204.57.216/29,US,TX,Longview
24.204.57.224/30,US,TX,Longview
24.204.57.228/30,US,TX,Longview
24.204.58.0/24,US,TX,Longview
24.204.58.0/26,US,TX,Longview
24.204.58.64/26,US,TX,Longview
24.204.59.0/24,US,TX,Longview
24.204.59.40/30,US,TX,Longview
24.204.59.104/30,US,TX,Longview
24.204.59.228/30,US,TX,Longview
24.204.59.232/30,US,TX,Longview
24.204.60.0/24,US,TX,Longview
24.204.60.64/26,US,TX,Longview
24.204.60.128/29,US,TX,Longview
24.204.60.176/28,US,TX,Longview
24.204.60.224/29,US,TX,Longview
24.204.60.240/29,US,TX,Longview
24.204.61.0/24,US,TX,Longview
24.204.62.0/24,US,TX,Longview
24.204.62.32/30,US,TX,Longview
24.204.62.108/30,US,TX,Longview
24.204.62.112/29,US,TX,Longview
24.204.62.120/29,US,TX,Longview
24.204.62.152/30,US,TX,Longview
24.204.62.156/30,US,TX,Longview
24.204.62.208/28,US,TX,Longview
24.204.62.224/30,US,TX,Longview
24.204.63.0/24,US,TX,Longview
38.114.224.4/32,US,LA,Shreveport
38.114.228.0/31,US,TX,Longview
38.114.228.2/31,US,TX,Kilgore
38.114.228.4/31,US,TX,Longview
38.114.228.6/31,US,TX,Longview
38.114.228.8/31,US,TX,Longview
38.114.228.10/31,US,TX,Brownwood
38.114.228.12/30,US,TX,Longview
38.114.228.16/28,US,TX,El Paso
38.114.228.32/31,US,TX,Longview
38.114.228.34/31,US,TX,Longview
38.114.228.36/31,US,TX,Nacogdochs
38.114.228.38/31,US,TX,Kilgore
38.114.228.40/31,US,TX,Longview
38.114.228.42/31,US,TX,Longview
38.114.228.44/31,US,TX,Longview
38.114.228.46/31,US,TX,Longview
38.114.228.48/31,US,TX,Hudson
38.114.228.50/31,US,TX,Henderson
38.114.228.52/31,US,TX,Kilgore
38.114.228.54/31,US,LA,Shreveport
38.114.228.56/31,US,TX,Longview
38.114.228.58/31,US,TX,Kilgore
38.114.228.60/31,US,TX,Kilgore
38.114.228.62/31,US,TX,Kilgore
38.114.228.64/31,US,TX,Kilgore
38.114.228.66/31,US,TX,Kilgore
38.114.228.68/31,US,TX,Marshall
38.114.228.70/31,US,TX,Marshall
38.114.228.72/31,US,TX,Longview
38.114.228.74/31,US,TX,Longview
38.114.228.76/31,US,TX,Longview
38.114.228.78/31,US,TX,Longview
38.114.228.80/31,US,TX,Longview
38.114.228.82/31,US,LA,Jena
38.114.228.84/31,US,TX,Longview
38.114.228.86/31,US,TX,Longview
38.114.228.88/31,US,TX,Longview
38.114.228.96/31,US,TX,Longview
38.114.228.98/31,US,TX,Kilgore
38.114.228.100/30,US,TX,Marshall
38.114.228.104/31,US,TX,Longview
38.114.228.106/31,US,TX,Longview
38.114.228.108/31,US,TX,Longview
38.114.228.110/31,US,TX,Longview
38.114.228.112/31,US,TX,Longview
38.114.228.114/31,US,TX,El Paso
38.114.228.116/31,US,TX,Kilgore
38.114.228.118/31,US,TX,Kilgore
38.114.228.128/28,US,TX,Longview
38.114.228.144/30,US,TX,Longview
38.114.228.148/31,US,TX,Longview
38.114.228.152/31,US,TX,Brownwood
38.114.228.154/31,US,TX,Marshall
38.114.228.156/30,US,TX,Longview
38.114.228.160/27,US,TX,Longview
38.114.228.192/31,US,TX,Longview
38.114.228.194/31,US,TX,Longview
38.114.228.196/31,US,TX,Longview
38.114.228.198/31,US,TX,El Paso
38.114.228.200/31,US,TX,Longview
38.114.228.202/31,US,TX,Longview
38.114.228.208/31,US,TX,Longview
38.114.228.210/31,US,TX,Longview
38.114.228.212/31,US,TX,Longview
38.114.228.214/31,US,TX,Longview
38.114.228.216/29,US,TX,Marshall
38.114.228.224/31,US,TX,Kilgore
38.114.228.226/31,US,TX,Longview
38.114.228.228/31,US,TX,Longview
38.114.228.230/31,US,TX,Kilgore
38.114.228.232/31,US,TX,Longview
38.114.228.234/31,US,TX,Longview
38.114.228.236/31,US,TX,Longview
38.114.228.238/31,US,TX,Longview
38.114.228.240/31,US,TX,Longview
38.114.228.242/31,US,TX,Longview
38.114.228.244/31,US,TX,Longview
38.114.228.246/31,US,TX,Longview
38.114.228.248/31,US,TX,Longview
38.114.228.250/31,US,TX,Longview
38.114.228.252/31,US,TX,Longview
38.114.228.254/31,US,TX,Kilgore
38.114.229.0/28,US,LA,Shreveport
38.114.229.16/28,US,LA,Shreveport
38.114.229.32/28,US,LA,Shreveport
38.114.229.48/28,US,LA,Shreveport
38.114.229.64/28,US,LA,Shreveport
38.114.229.128/28,US,LA,Shreveport
38.114.229.144/28,US,LA,Shreveport
38.114.229.216/29,US,LA,Shreveport
38.114.229.240/29,US,LA,Shreveport
38.114.230.0/26,US,LA,Shreveport
38.114.230.64/26,US,LA,Shreveport
38.114.230.128/26,US,LA,Shreveport
38.114.230.192/26,US,LA,Shreveport
38.114.231.0/31,US,TX,Dallas
38.114.231.2/31,US,TX,El Paso
38.114.231.4/31,US,TX,El Paso
38.114.231.6/31,US,TX,Longview
38.114.231.8/31,US,TX,Dallas
38.114.231.10/31,US,LA,Ruston
38.114.231.12/30,US,TX,El Paso
